epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,806.172,2.97065,3.29334,3.734,0.14278,0.11438,0.07237,0.02218,2.89248,6.79144,3.63389,0.000664083,0.000664083,0.000664083
2,1780.65,2.34723,2.53236,2.86053,0.70401,0.50327,0.55953,0.30912,1.83079,2.01269,2.35038,0.00119901,0.00119901,0.00119901
3,2591.78,1.86901,1.97401,2.30773,0.7519,0.63399,0.69742,0.40636,1.59581,1.49587,1.99692,0.00160193,0.00160193,0.00160193
4,3511.44,1.62732,1.69137,2.04939,0.75528,0.65686,0.71445,0.47573,1.26459,1.62669,1.65336,0.001406,0.001406,0.001406
5,4584.39,1.46561,1.51393,1.87228,0.79252,0.71242,0.8005,0.54848,1.25185,1.137,1.62004,0.001208,0.001208,0.001208
6,5455.57,1.35609,1.38583,1.76116,0.90166,0.71569,0.84433,0.63129,0.99624,0.9823,1.41854,0.00101,0.00101,0.00101
7,6264.39,1.27642,1.30234,1.68222,0.85031,0.74256,0.85009,0.63082,0.97956,0.89468,1.39573,0.000812,0.000812,0.000812
8,7291.36,1.21637,1.20451,1.62669,0.85152,0.76797,0.85771,0.66688,0.89545,0.88487,1.30144,0.000614,0.000614,0.000614
9,8325.83,1.16931,1.14613,1.5737,0.88789,0.77451,0.86466,0.67134,0.90527,0.84448,1.29829,0.000416,0.000416,0.000416
10,9489.94,1.12062,1.08694,1.54563,0.86778,0.815,0.88235,0.69254,0.81949,0.78351,1.25443,0.000218,0.000218,0.000218
